"Horodateur","Ça va ?","Quel type de musique écoutez vous le plus ? ","Depuis combien de temps écoutez-vous le style choisi ?","Quel autre type de musique écoutez vous ? (Non obligatoire)","Suite à la question précédente, depuis combien de temps écoutez-vous le deuxième style choisi s'il existe ?","Sur quelle plateforme écoutez vous de la musique ?","Sur quel support écoutez vous de la musique ?","Durant combien de temps écoutez vous de la musique par semaine ?","Êtes-vous un homme ou une femme ?","Avant d'arriver aux Mines d'Alès, quel type d'établissement scolaire fréquentiez-vous ?","Quel est votre GPA ? (à 0.1 près, les deux chiffres séparés par un point)","Pratiquez vous du sport et/ou jouez vous de la musique ?","En dehors des périodes scolaires, habitez-vous en zone rurale ou urbaine ?","Êtes-vous boursier ?"
"2020/02/04 5:19:09 PM UTC+1","Oui","Rock/Metal","Depuis ma prime jeunesse","Bandes originales de films/jeux vidéos","Depuis ma prime jeunesse","Achat d'albums physiques / dématérialisés","Casque audio","Plus de 8 heures","Homme","CPGE","3.2","Je joue d'un instrument","1","Oui"
"2020/02/04 5:20:09 PM UTC+1","Oui","Jazz","Depuis ma prime jeunesse","Rap/Musique de type street","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Écouteurs","Plus de 8 heures","Homme","DUT","3.0","Les deux","2","Non"
"2020/02/04 5:20:23 PM UTC+1","Oui","Psy trance ultra hard core","Depuis ma prime jeunesse","reggae dub psychédelique","Depuis ma prime jeunesse","sur vinyle","sonographe","Plus de 8 heures","Homme","Master","3.1","Aucun des deux","2","Non"
"2020/02/04 5:20:27 PM UTC+1","Bien sûr","Techno / Acid","Depuis mon arrivée aux Mines d'Alès","Jazz","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Homme","CPGE","2.9","Je joue d'un instrument","1","Non"
"2020/02/04 5:20:41 PM UTC+1","Oui","Jazz","Depuis l'entrée en études supérieures","","","Plateforme plus variée (YouTube, Soundcloud...)","Telephone","Entre 1 et 2 heures","Homme","CPGE","3.25","Je joue d'un instrument","3","Non"
"2020/02/04 5:20:47 PM UTC+1","Oui","Rap/Musique de type street","Depuis le collège","Rock/Metal","Depuis ma prime jeunesse","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Moins d'une heure","Femme","CPGE","2,75","Les deux","2","Non"
"2020/02/04 5:21:41 PM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Bandes originales de films/jeux vidéos","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Voiture","Entre 4 et 8 heures","Femme","CPGE","3.7","Je fais du sport","2","Oui"
"2020/02/04 5:22:03 PM UTC+1","Oui","Pop/Commercial","Depuis l'entrée en études supérieures","Rap/Musique de type street","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 4 et 8 heures","Femme","Fac","3.86 (eh ouais on est là)","Je fais du sport","1","Oui"
"2020/02/04 5:22:19 PM UTC+1","Oui","Rock/Metal","Depuis ma prime jeunesse","Jazz","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Plus de 8 heures","Homme","CPGE","2.85","Je fais du sport","2","Oui"
"2020/02/04 5:22:22 PM UTC+1","Bien sûr","Rock/Metal","Depuis l'entrée en études supérieures","Sons de teuf","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Voiture","Entre 2 et 4 heures","Homme","CPGE","1a aucune idée","Je fais du sport","2","Oui"
"2020/02/04 5:22:30 PM UTC+1","Oui","Pop/Commercial","Depuis le collège","","","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Entre 4 et 8 heures","Homme","CPGE","3","Aucun des deux","2","Oui"
"2020/02/04 5:22:42 PM UTC+1","Oui","Pop/Commercial","Depuis le collège","Rock/Metal","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","tout ce qui est dit hihi","Entre 2 et 4 heures","Femme","CPGE","3.6","Je fais du sport","1","Non"
"2020/02/04 5:23:14 PM UTC+1","Oui","Pop/Commercial","Depuis le collège","Rock/Metal","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Les quatre","Plus de 8 heures","Femme","CPGE","3.7","Les deux","1","Non"
